global_ids,types,X,Y,Z,areas,ax1s,ax2s,gyrations,volumes,Rand,Rank,Train
3LbNSBzHHBSuzhUUvuwCO7,IfcWallStandardCase,0.324,3.91,4.668,31.804716,17.53934855,0.623607863,1.130810014,1.81333508,0.669493781650011,431,2
1byTDaqS91rBnWJlv$n$IO,IfcWallStandardCase,3,0.324,4.668,23.74251735,18.65044131,0.615597684,0.783672538,1.273027107,0.669109566650766,432,2
2j55VthSj3Lu0J6fyrpHdv,IfcWallStandardCase,0.606,0.254,4.778,4.255608,42.40001741,1.178006396,0.118234231,0.100368072,0.668973521358928,433,2
2d8HbdSu9Fr9Na0iagzMM0,IfcWallStandardCase,5.85,0.324,4.778,47.515968,17.44922198,0.563384916,1.534153194,2.72309952,0.668887387692602,434,2
0tIhQ6hmz02e5gznEed5FL,IfcWallStandardCase,3.578975,0.254,4.668,31.0419939,38.07656008,1.196624539,0.975550616,0.815252056,0.66871671864905,435,2
0tIhQ6hmz02e5gznEed599,IfcWallStandardCase,0.254,0.996,2.7,4.335968,40.34959985,2.143249157,0.230313554,0.10746,0.668260797837424,436,2
0tIhQ6hmz02e5gznEed7Vt,IfcWallStandardCase,0.254,0.66,3.2,3.13368,42.05152979,1.794181506,0.133702406,0.07452,0.666726814377025,437,2
2Xm8mTFlXE_vTXaS55sSnt,IfcWallStandardCase,1.115,0.324,2.378,4.752804,19.23309825,1.078652716,0.266552215,0.24711588,0.666390294769866,438,2
3Egy$LBd99weR14rW4bsKP,IfcWallStandardCase,0.324,3.216,4.778,29.497808,17.22903423,0.508954141,0.871379749,1.712098752,0.665735080870985,439,2
3LbNSBzHHBSuzhUUvuwB08,IfcWallStandardCase,0.467,1.165,4.1495,10.246878,10.06956878,0.28403634,0.289037771,1.017608423,0.664444002523096,440,2
0tIhQ6hmz02e5gznEedAdC,IfcWallStandardCase,0.254,0.66,3.2,3.13368,42.05152979,1.794181506,0.133702406,0.07452,0.664192026557524,441,2
3LbNSBzHHBSuzhUUvuwAOJ,IfcWallStandardCase,8.81,0.467,5.337,91.781018,8.433580901,0.230908594,2.51293325,10.88280519,0.663693600923713,442,2
0tIhQ6hmz02e5gznEed7h9,IfcWallStandardCase,0.254,0.553,4.668,3.675076,43.15038699,1.210390241,0.103087746,0.085169016,0.663105823555504,443,2
1Vb9ftVq13ye5XNb8lusvm,IfcWallStandardCase,0.35,7.38,2.72,38.60934545,14.52932084,0.764038415,2.030309841,2.65734,0.663051586160772,444,2
3Egy$LBd99weR14rW4bqt2,IfcWallStandardCase,0.324,1.91,4.668,13.073936,19.14813045,0.764026468,0.521661014,0.68277872,0.660735540162938,445,2
3covXlhoX73Qj3cUD4lXW3,IfcWallStandardCase,7.675,0.35,2.8,32.28718658,15.50129705,1.098405265,2.287835375,2.08287,0.659687636002662,446,2
3LbNSBzHHBSuzhUUvuwEka,IfcWallStandardCase,0.324,4.122451851,4.668,37.1318618,17.08654499,0.521304448,1.132879977,2.173163844,0.658383593700683,447,2
