global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Outlier
35QeWibpT4DfyH3NIf2nl2,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1XDak$XfD6EgU4WfRG3PW2,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,1
1byTDaqS91rBnWJlv$nng6,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
3qOL0KDQH3Qvieacuq$yd5,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,1
0kRWKxi_L8IgM5pxQ3Afs3,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,1
1byTDaqS91rBnWJlv$nmeL,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nn4z,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$H4,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
0bEVTjYjD3tObBla66qvaF,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,1
1byTDaqS91rBnWJlv$nmeg,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
0tIhQ6hmz02e5gznEed4FD,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1Ci4_9Ff97le_ukPGFs3$N,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,1
35QeWibpT4DfyH3NIf2nxi,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2ohQ,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2o7O,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2nMH,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2ngM,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2nOv,IfcDoor,1.065,0.225,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,1
0n9MOIWtH5YQCWD492V9Gs,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,1
1byTDaqS91rBnWJlv$nmDB,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nmfx,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$gx,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2nds,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nm10,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nm9F,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$rP,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
0ClPCUC7jCQRnj1dhupHk0,IfcDoor,1.065,0.225,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,1
1byTDaqS91rBnWJlv$nnhB,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2mHI,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$Zq,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$Vz,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
2HSERXhNLEzu4p5VeFtKD0,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,1
1byTDaqS91rBnWJlv$n$iu,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nn_r,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nmLC,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$Mi,IfcDoor,0.517,1.267,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858,1
2xmbPKpzD9oOgks5iF477B,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,1
1sRXNaZyHBZf8ll8vLzCCr,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,1
35QeWibpT4DfyH3NIf2ncB,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2n4J,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$Db,IfcDoor,0.517,1.267,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858,1
