X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Rand,Rank,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJxR,0.391513745,IfcWindow,0.068159298,0.0251586112629203,120,
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgkM,0.391513745,IfcWindow,0.068159298,0.268526405871201,89,
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJtw,0.391513745,IfcWindow,0.068159298,0.248463002754666,91,
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJz3,0.391513745,IfcWindow,0.068159298,0.602666376943268,42,
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,0hFBTMiZjBl8oFeMbWoLKT,0.384804697,IfcWindow,0.076102,0.866863258805143,15,
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJoj,0.391513745,IfcWindow,0.068159298,0.309137452070256,81,
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJyK,0.391513745,IfcWindow,0.068159298,0.475834078324536,56,
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,1jj1J6qBXAKhnoBT6qD$Oa,0.428325254,IfcWindow,0.043075,0.323267544521333,78,
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJ$f,0.391513745,IfcWindow,0.068159298,0.651392952511217,37,
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgGp,0.391513745,IfcWindow,0.068159298,0.469497748771364,57,
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmgjh,0.391513745,IfcWindow,0.068159298,0.587995923591719,44,
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,0DaKs9vZjE1R5K0GIDFxzL,0.428325254,IfcWindow,0.043075,0.328835430198819,75,
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJw0,0.391513745,IfcWindow,0.068159298,0.328058168452297,76,
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmghI,0.391513745,IfcWindow,0.068159298,0.483295420188215,54,
1.415,0.32,1.68,5.3669,95.65473114,7.879142714,0Em$KsiYn4c9RYp9aqMd7M,0.44207506,IfcWindow,0.056107,0.562911587005393,45,
