X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Train
4.01,1.026075479,4.668,36.70332126,17.10159422,0.521320036,3LbNSBzHHBSuzhUUvuwFks,1.118853395,IfcWallStandardCase,2.146192969,train
0.324,4.122451851,4.668,37.1318618,17.08654499,0.521304448,3LbNSBzHHBSuzhUUvuwEka,1.132879977,IfcWallStandardCase,2.173163844,train
0.254,0.606,4.668,4.154408,42.41077299,1.207008344,0mxk1RW8H5mvX1dNnpRq0v,0.118234231,IfcWallStandardCase,0.097956432,train
0.324,4.405000352,4.668,39.72678724,17.05228405,0.52127065,3LbNSBzHHBSuzhUUvuwDJl,1.214406713,IfcWallStandardCase,2.329704755,train
5.14375161,0.324,2.2715,22.22174532,17.49906728,1.124188975,3MOOG5txfDyunpNn2Iq9N7,1.427587008,IfcWallStandardCase,1.269881701,train
3.775254846,0.254,4.88,34.35595289,38.02378815,1.142402896,2d8HbdSu9Fr9Na0iagzMxf,1.03220489,IfcWallStandardCase,0.903538405,train
3.336,0.324,4.778,30.626288,17.20365936,0.508921903,3Egy$LBd99weR14rW4bgaI,0.905992642,IfcWallStandardCase,1.780219392,train
3.593600732,0.324,4.668,32.27489312,17.16600435,0.521391867,3Egy$LBd99weR14rW4brUK,0.980301906,IfcWallStandardCase,1.880163401,train
0.4,7.38,2.58,37.41437679,11.30145678,0.609680222,1F87kfUbz67h$rm61doscg,2.018395148,IfcWallStandardCase,3.31058,train
3.749,0.254,4.778,33.36858,38.41195579,1.168208266,3Egy$LBd99weR14rW4bguN,1.014825987,IfcWallStandardCase,0.868702968,train
0.3,2.124976774,2.8,6.655874578,24.61547051,2.657948327,2KFJU1X6rEj8WoLfE51FCJ,0.718693177,IfcWallStandardCase,0.270393961,train
13.271,0.467,4.77,125.1654553,8.351894517,0.250812614,3LbNSBzHHBSuzhUUvuwBEp,3.758796876,IfcWallStandardCase,14.98647464,train
1.99,0.225,4.778,14.18764,82.281532,3.052304214,0ClPCUC7jCQRnj1dhupHkw,0.526302711,IfcWallStandardCase,0.172428,train
0.327,0.254,3.2,1.099716,53.4517352,1.936337828,0tIhQ6hmz02e5gznEed4ib,0.039838214,IfcWallStandardCase,0.020574,train
0.254,0.66,4.668,4.642784,41.8324907,1.204687672,3pms57Ad5AVAb74jf4yKnX,0.133702406,IfcWallStandardCase,0.11098512,train
